Date,con_pos,con_neg,overall,pos_count,neg_count
2023-04-02,0.0,-0.296634724406595,-0.297156142354936,0,1
2023-04-04,0.0,-0.49010604138912095,-0.5238904693113681,0,3
2023-04-05,0.0,-0.2994334486642053,-0.2963115824987573,0,1
2023-04-07,0.25487461463343675,0.0,0.22592254125347713,3,0
2023-04-08,0.0,-0.3950907298717481,-0.4396846250494516,0,2
2023-04-11,0.1999843646400161,0.0,0.17482609664155588,3,0
2023-04-12,0.0,-0.24238658360133278,-0.2532648866654327,0,2
2023-04-13,0.0,0.0,0.0,0,1
2023-04-14,0.07753230370536635,-0.0276040155055077,0.0708420179976896,1,1
2023-04-15,0.0,0.0,0.0,0,0
2023-04-16,0.0,-0.3171870486785736,-0.2613143405521535,0,1
2023-04-18,0.0,-0.30981167969961354,-0.37387559874228116,0,2
2023-04-19,0.0,0.0,0.0,0,1
2023-04-20,0.5045138464458141,-0.03608421042338708,0.39760105635729687,2,1
2023-04-21,0.040286842585898625,-0.5149696724462841,-0.5308335215413063,1,2
2023-04-24,0.20116470561476657,0.0,0.1844671625445003,2,0
2023-04-25,0.0,-0.3433065797566942,-0.3460044348858032,0,3
2023-04-26,0.0,-0.3762768855921411,-0.41874726195185874,0,1
2023-04-27,0.7559176767851428,-0.03322126869123203,0.6316010832940537,2,1
2023-04-28,0.0,-0.23254888083862418,-0.23565029199670953,0,1
2023-04-29,0.17185507192497743,-0.11162586194354802,0.07908576378964235,1,2
2023-05-02,0.09382296115727909,-0.2484083553087031,-0.1877139814958796,1,2
2023-05-03,0.0,0.0,0.0,1,0
2023-05-04,0.0,-0.31688800772721026,-0.3880106078050277,0,3
2023-05-05,0.2814688834718373,0.0,0.297156142354936,1,0
2023-05-06,0.0,-0.5026082584608021,-0.5364192548338794,0,2
2023-05-08,0.0,-0.1411038320970529,-0.157030223231947,0,1
2023-05-09,0.24024468878372107,0.0,0.20937363097592937,1,1
2023-05-10,0.0,-0.054645176189833077,-0.04597833940575665,0,2
2023-05-11,0.11979303037223335,-0.1328850747649281,-0.02944838798201864,1,1
2023-05-13,0.0,-0.09513199999369337,-0.08754598503726613,0,2
2023-05-14,0.0,-0.1804210521169354,-0.2104178434607736,0,1
2023-05-16,0.0,-0.10271947862776075,-0.1518668682862542,0,2
2023-05-17,0.0,-0.3171870486785736,-0.2613143405521535,0,1
2023-05-18,0.0,0.0,0.0,0,0
2023-05-19,0.0,0.0,0.0,0,1
2023-05-20,0.0,0.0,0.0,0,0
2023-05-21,0.0,0.0,0.0,0,0
2023-05-23,0.0,-0.15914815398149756,-0.1764444454232409,1,2
2023-05-26,0.0,-0.0792967621696434,-0.06532858513803838,1,1
2023-05-27,0.0,-0.3348775858306441,-0.3013719474806948,0,1
2023-05-31,0.0,0.0,0.0,0,0
2023-06-01,0.0,-0.1804210521169354,-0.2104178434607736,0,1
2023-06-02,0.0,-0.2657701495298562,-0.2693146194248109,0,1
2023-06-03,0.0,-0.18061539482741656,-0.22129751868778014,0,2
2023-06-04,0.2014342129294931,0.0,0.1196303045567743,1,0
2023-06-06,0.0,-0.27401981819943344,-0.28711988654113973,0,3
2023-06-07,0.0,0.0,0.0,0,0
2023-06-08,0.0,-0.1808097375378977,-0.2321771939147867,0,1
2023-06-09,0.0,-0.0276040155055077,-0.05981515227838715,0,2
2023-06-10,0.1550646074107327,0.0,0.2613143405521535,1,0
2023-06-12,0.0,-0.3805279999747735,-0.3501839401490645,0,1
2023-06-16,0.0,-0.22328994353387696,-0.2507459066697988,0,2
2023-06-17,0.44378459839283163,0.0,0.34826579087218,1,0
2023-06-19,0.0,0.0,0.0,1,0
2023-06-22,0.16096769880044345,-0.060140350705645135,0.06878953448364555,2,1
2023-06-23,0.04691148057863955,-0.19026399998738674,-0.1255659463487096,1,1
2023-06-24,0.0,0.0,0.0,0,0
2023-06-27,0.0,-0.22328994353387696,-0.2507459066697988,0,2
2023-06-28,0.1550646074107327,0.0,0.2613143405521535,1,0
2023-07-01,0.0,-0.6053725496074523,-0.5361420640302323,0,1
2023-07-04,0.0,-0.2657701495298562,-0.2693146194248109,0,1
2023-07-05,0.0,0.0,0.0,1,0
2023-07-06,0.0,-0.3171870486785736,-0.2613143405521535,0,1
2023-07-07,0.16578955621064426,-0.018402677003671798,0.12003405277627005,2,1
2023-07-08,0.0,-0.0368053540073436,-0.07975353637118288,0,1
2023-07-10,0.0,-0.296634724406595,-0.297156142354936,0,1
2023-07-11,0.0,-0.2611194113453321,-0.2506959191345236,0,4
2023-07-12,0.28040665202309656,0.0,0.21762853487396736,2,0
2023-07-13,0.0,-0.12830156136286758,-0.12601363236280524,0,2
2023-07-14,0.10071710646474655,0.0,0.05981515227838715,1,1
2023-07-15,0.0,-0.3171870486785736,-0.2613143405521535,0,1
2023-07-17,0.0,-0.0552080310110154,-0.1196303045567743,0,1
2023-07-18,0.0,-0.2657701495298562,-0.2693146194248109,0,1
2023-07-19,0.0,-0.28066886875633557,-0.29118056703192563,0,2
2023-07-21,0.049309399821425744,0.0,0.038696198985797785,1,0
2023-07-22,0.0,-0.4355713495686543,-0.4027283417275216,0,2
2023-07-23,0.196557334630034,0.0,0.2347399100264101,1,0
2023-07-25,0.0,-0.2994334486642053,-0.2963115824987573,0,1
2023-07-26,0.0,-0.2914785991042149,-0.26531447998848223,0,2
2023-07-27,0.13740409816357504,-0.09040486876894885,0.03206719429198529,1,1
2023-07-28,0.0,0.0,0.0,0,1
2023-07-29,0.0,-0.3171870486785736,-0.2613143405521535,0,1
2023-08-01,0.0,0.0,0.0,0,1
2023-08-02,0.0,-0.3748111445405065,-0.4233079745396302,1,2
2023-08-03,0.5322237360677641,-0.04639426798530265,0.427706060527204,2,2
2023-08-04,0.0,-0.20602173038720537,-0.20680446883897352,0,2
2023-08-05,0.0,-0.1483173622032975,-0.148578071177468,0,1
2023-08-08,0.0,-0.2484083553087031,-0.2867660289475249,1,2
2023-08-09,0.0,-0.3762768855921411,-0.41874726195185874,0,1
2023-08-10,0.8958938011035422,-0.03616194750757954,0.7595725008408191,2,1
2023-08-11,0.12405168592858616,0.0,0.20905147244172284,1,0
2023-08-12,0.0,-0.6713244202134679,-0.6351851496837295,0,3
2023-08-15,0.0,-0.3762768855921411,-0.41874726195185874,0,1
2023-08-16,0.5321775800376863,0.0,0.50585204213591,2,1
2023-08-17,0.0,-0.39959647524845293,-0.3835831913440317,0,2
2023-08-18,0.3766294068831081,-0.10825263127016124,0.19079843820119174,2,1
2023-08-19,0.09392683190703799,-0.12335276641310394,-0.039324269244546045,2,2
2023-08-21,0.0,-0.13531578908770156,-0.1578133825955802,0,1
2023-08-22,0.0,-0.17632047541335705,-0.17788704669598832,0,3
2023-08-23,0.0,-0.45153226271056934,-0.5024967143422304,0,1
2023-08-24,0.0,0.0,0.0,0,0
